Model,Accuracy (test set),Accuracy (test set),Training time (sec),Training time (sec),Precision,Precision,Recall,Recall,F1 score,F1 score,F2 score,F2 score,ROC-AUC score,ROC-AUC score
,TFIDF using Stemming,BOW using Stemming,TFIDF using Stemming,BOW using Stemming,TFIDF using Stemming,BOW using Stemming,TFIDF using Stemming,BOW using Stemming,TFIDF using Stemming,BOW using Stemming,TFIDF using Stemming,BOW using Stemming,TFIDF using Stemming,BOW using Stemming
MultinomialNB,0.9623318385650224,0.9838565022421524,0.16,0.18,0.992063492063492,0.9302325581395348,0.7530120481927711,0.963855421686747,0.8561643835616438,0.9467455621301776,0.7911392405063292,0.9569377990430622,0.8759791537065015,0.9756052661647644
Random Forest,0.9766816143497756,0.9721973094170404,25.95,19.39,1.0,0.9927007299270072,0.8433734939759037,0.8192771084337349,0.9150326797385622,0.8976897689768976,0.8706467661691543,0.8489388264669164,0.9216867469879518,0.9091116838269834
